account_id,account_name,segment,industry,employees,created_date
ACC-2000,Smith-Bowen,Mid-Market,Media,669,2024-07-23
ACC-2001,"Gill, Romero and Rodriguez",Mid-Market,Media,748,2024-08-19
ACC-2002,"Romero, Gonzalez and Brooks",SMB,Fintech,155,2025-02-22
ACC-2003,"Sellers, George and Burns",SMB,SaaS,177,2024-10-08
ACC-2004,Allen-Allen,Enterprise,Manufacturing,11363,2024-03-02
ACC-2005,Dennis Inc,SMB,Manufacturing,73,2025-08-17
ACC-2006,Anderson Group,SMB,Manufacturing,159,2024-05-08
ACC-2007,Rose-Obrien,SMB,Fintech,66,2025-02-22
ACC-2008,"Vaughn, Marquez and Ross",SMB,Media,22,2025-05-19
ACC-2009,Kim-Holmes,SMB,SaaS,50,2024-07-11
ACC-2010,Brown Inc,SMB,Manufacturing,26,2025-03-06
ACC-2011,Chapman Inc,Mid-Market,SaaS,1283,2025-07-03
ACC-2012,"Brown, Jones and Johnson",Enterprise,Healthcare,49233,2024-02-25
ACC-2013,"Young, Caldwell and Lewis",SMB,Fintech,147,2025-07-15
ACC-2014,"Johnston, Sanchez and Kennedy",Mid-Market,Retail,428,2024-05-27
ACC-2015,Davis Group,SMB,Healthcare,126,2024-11-25
ACC-2016,Owens-Daniel,Enterprise,Media,13708,2025-05-22
ACC-2017,"Garcia, Powell and Morgan",SMB,SaaS,37,2024-07-12
ACC-2018,Lee Group,SMB,Fintech,173,2024-11-23
ACC-2019,Ramirez and Sons,SMB,SaaS,105,2024-12-10
ACC-2020,"Garcia, Pearson and Fernandez",SMB,SaaS,145,2024-03-13
ACC-2021,Martin Group,SMB,Retail,14,2024-06-15
ACC-2022,Barrera-Martin,Enterprise,SaaS,5796,2024-10-30
ACC-2023,House-Glover,SMB,Healthcare,155,2024-11-24
ACC-2024,"Bernard, Cowan and Peters",Mid-Market,Media,1757,2025-01-13
ACC-2025,Lee and Sons,Mid-Market,SaaS,1551,2025-03-25
ACC-2026,"Daniels, Adkins and Brown",Enterprise,Manufacturing,36581,2025-01-05
ACC-2027,"Calhoun, Schmidt and Brown",Enterprise,Manufacturing,37343,2024-03-03
ACC-2028,Jones Inc,Mid-Market,Media,611,2025-10-31
ACC-2029,Powell PLC,SMB,Fintech,181,2025-03-25
ACC-2030,"Williams, Miller and Sandoval",SMB,Manufacturing,142,2025-02-10
ACC-2031,Donovan-Harris,SMB,Media,26,2024-09-01
ACC-2032,Baker and Sons,Mid-Market,Media,1405,2025-05-16
ACC-2033,Bryant-Hickman,SMB,SaaS,191,2024-01-08
ACC-2034,Howell-Hart,SMB,SaaS,18,2024-02-26
ACC-2035,"Lewis, Baker and Mahoney",SMB,SaaS,70,2025-11-13
ACC-2036,Wood and Sons,SMB,Retail,148,2025-10-09
ACC-2037,"Warner, Carr and Archer",Enterprise,Media,32976,2025-02-14
ACC-2038,Contreras PLC,SMB,Healthcare,131,2025-05-30
ACC-2039,Mcmillan and Sons,SMB,Healthcare,34,2024-03-30
ACC-2040,Newton and Sons,SMB,Healthcare,115,2024-08-06
ACC-2041,"Clark, Cooper and Watts",SMB,Healthcare,177,2025-01-27
ACC-2042,King-Odonnell,SMB,SaaS,196,2024-03-12
ACC-2043,"Henderson, Hill and Smith",SMB,Fintech,58,2025-05-09
ACC-2044,Martin-Ramos,SMB,Media,56,2024-11-28
ACC-2045,"Smith, Jones and Ware",SMB,Fintech,29,2025-02-27
ACC-2046,Davenport PLC,SMB,Manufacturing,176,2024-04-25
ACC-2047,Anderson-Parker,Enterprise,SaaS,28634,2025-11-29
ACC-2048,Clark-Wright,SMB,SaaS,64,2024-10-01
ACC-2049,"Henson, Russell and Oliver",Enterprise,Fintech,2141,2024-07-02
ACC-2050,Cherry and Sons,Enterprise,Retail,31819,2024-01-20
ACC-2051,Doyle LLC,SMB,Retail,188,2025-09-15
ACC-2052,"Shields, Cochran and Adams",Mid-Market,Media,517,2024-03-24
ACC-2053,Brennan-Garrison,SMB,Fintech,24,2024-06-04
ACC-2054,Bailey-Hoover,SMB,Fintech,90,2024-06-22
ACC-2055,Keller Group,Mid-Market,Healthcare,1946,2024-08-04
ACC-2056,Rasmussen LLC,SMB,Healthcare,140,2025-05-13
ACC-2057,"Ross, Zavala and Herrera",SMB,SaaS,27,2024-03-30
ACC-2058,White-Estes,SMB,Healthcare,155,2024-01-30
ACC-2059,Carlson LLC,Mid-Market,Media,367,2025-09-02
ACC-2060,Graham-Joyce,Mid-Market,SaaS,1270,2024-10-26
ACC-2061,"Lee, Williams and Graham",Enterprise,Manufacturing,48936,2025-09-18
ACC-2062,"Mcdaniel, Bentley and Mclaughlin",SMB,Fintech,77,2024-10-09
ACC-2063,Jones-Beck,Mid-Market,Healthcare,1136,2025-04-29
ACC-2064,Alvarado-Martinez,Enterprise,Healthcare,32034,2025-01-28
ACC-2065,Estrada-Nguyen,Mid-Market,Media,404,2024-08-17
ACC-2066,"Martinez, Fisher and Bentley",SMB,Media,139,2025-08-04
ACC-2067,Gilbert LLC,Enterprise,Retail,18009,2025-03-01
ACC-2068,Torres and Sons,SMB,Retail,50,2025-09-02
ACC-2069,"Lawson, Morris and Ramos",Mid-Market,Media,1852,2024-06-14
ACC-2070,"Kennedy, Santana and Flynn",SMB,Fintech,180,2025-05-26
ACC-2071,Campbell Ltd,SMB,Media,179,2025-04-25
